wrinvstg_no,fire_type_nm,buld_srtfrm,buld_strctr,buld_srtrf,buld_strct_dong_cnt,ground_nof,bstory_cnt,totar,bottom_area,buld_sttus_nm,dth_cnt,injpsn_cnt,dth_hnl_dmge_cnt,prprty_dmge_amt,fire_ocrn_yr,season_se_nm,qtr_se,fire_ocrn_ymd,fire_ocrn_tm,fire_ocrn_mnth,fire_ocrn_day,fire_ocrn_hour,fire_ocrn_min,daywk,frstt_nm,ward_nm,lfdau_nm,dsp_reqre_time,fire_supesn_time,sido_nm,sigungu_nm,emd_nm,cty_frmvl_se_nm,emd_se_nm,gis_x_axis,gis_y_axis,longitude,la,spt_frstt_dist,spt_safe_cnter_dist,spt_lfdau_dist,ign_htsrc_nm,ign_htsrc_sclas_nm,ign_fctr_lclas_nm,ign_fctr_sclas_nm,frst_igobj_lclas_nm,frst_igobj_sclas_nm,ign_mhrls_lclas_nm,ign_mhrls_sclas_nm,cmbs_expobj_lclas_nm,cmbs_expobj_sclas_nm,fclty_place_lclas_nm,fclty_place_mclas_nm,fclty_place_sclas_nm,ign_floor_nm,soot_area,fio_join_trgt_yn,frmng_trgt_yn,mub_yn,emrg_crg_oper_yn,vhcle_place,vhcle_ign_bhf,fld_fire_se,fld_fire_ign_bhf,time_unit_tmprt,time_unit_rainqty,time_unit_ws,time_unit_wd,time_unit_humidity,time_unit_msnf,time_unit
220101120626208,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1,7,0,876.750000,248.240000,사용중,0,0,0,214,2022,겨울,1,20220101,105100,01,01,10,51,토요일,강서소방서,등촌119안전센터,,000419,001630,서울특별시,강서구,등촌동,도시,동,187310.730000,187310.730000,126.856391000,37.555979000,0.60,0.60,0.00,담뱃불/ 라이터불,촛불,부주의,불씨/불꽃/화원방치,합성수지,플라스틱/ PVC/ 비닐/ 장판,,,,,주거,공동주택,다세대주택,,2.000000,N,Y,N,N,,,,,-6.8,,2.3,50,42,,2000
220101173533643,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1,4,1,391.310000,76.450000,사용중,0,2,2,18352,2022,겨울,1,20220101,121500,01,01,12,15,토요일,강북소방서,번동119안전센터,,000310,003200,서울특별시,강북구,번동,도시,동,202134.300000,202134.300000,127.024180000,37.635428000,1.40,1.40,0.00,미상,미상,미상,미상,미상,미상,,,합성수지,기타(합성수지),주거,공동주택,기타 공동주택,지상층,86.000000,N,N,N,N,,,,,-2.3,,1.2,90,34,,2000
220101163152261,건축/구조물,양식(옥),벽돌조,와가,1,2,,99.500000,21.000000,사용중,0,0,0,3037,2022,겨울,1,20220101,124800,01,01,12,48,토요일,마포소방서,서교119안전센터,,000300,000800,서울특별시,마포구,망원동,도시,동,191497.700000,191497.700000,126.903778000,37.553616000,3.80,1.50,0.00,불꽃/ 불티,기타(불꽃/불티),부주의,가연물 근접방치,종이/목재/건초등,종이,,,,,생활서비스,음식점,기타 음식점,,5.000000,N,N,N,N,,,,,-2.3,,1.2,90,34,,2000
220101160403614,건축/구조물,양식(옥),철근콘크리트조,슬라브가,,4,1,494.560000,108.440000,사용중,0,0,0,56,2022,겨울,1,20220101,150900,01,01,15,09,토요일,성북소방서,종암119안전센터,,000330,000000,서울특별시,성북구,종암동,도시,동,202995.360000,202995.360000,127.033904000,37.592293000,1.50,1.50,0.00,담뱃불/ 라이터불,촛불,부주의,불씨/불꽃/화원방치,전기/전자,전기/ 전자기기 케이스,,,,,주거,단독주택,기타 단독주택,,0.000000,N,Y,Y,N,,,,,1.9,,1.7,230,35,,2000
220102015118937,건축/구조물,한식(옥),벽돌조,와가,1,2,0,82.000000,47.000000,사용중,0,0,0,973,2022,겨울,1,20220101,154500,01,01,15,45,토요일,용산소방서,한강로119안전센터,,000245,000500,서울특별시,용산구,청파동1가,도시,동,197304.500000,197304.500000,126.969497000,37.547593000,1.00,1.00,0.00,작동기기,전기적 아크(단락),전기적 요인,과부하/과전류,전기/전자,전선피복,계절용 기기,열선,전기/전자,전선피복,주거,단독주택,단독주택,,0.000000,N,N,N,N,,,,,1.9,,1.7,230,35,,2000
220101212227494,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1,5,1,529.290000,98.130000,사용중,0,0,0,55,2022,겨울,1,20220101,203900,01,01,20,39,토요일,동대문소방서,장안119안전센터,,000325,000007,서울특별시,동대문구,장안동,도시,동,206365.760000,206365.760000,127.072056000,37.569224000,0.90,0.90,0.00,담뱃불/ 라이터불,담뱃불,부주의,담배꽁초,합성수지,플라스틱/ PVC/ 비닐/ 장판,,,,,주거,공동주택,다세대주택,,0.000000,N,N,N,N,,,,,-1.6,,0.9,70,47,,2000
220101235109125,건축/구조물,조립식,샌드위치패널조,샌드위치패널,1,1,0,16.500000,16.500000,사용중,0,0,0,2237,2022,겨울,1,20220101,204000,01,01,20,40,토요일,마포소방서,상암119안전센터,,000900,002300,서울특별시,마포구,상암동,도시,동,189356.756100,189356.756100,126.879531000,37.564921000,6.50,4.50,0.00,작동기기,전기적 아크(단락),전기적 요인,절연열화에 의한 단락,전기/전자,전선피복,,,,,기타서비스,기타건축물,공중화장실,,5.000000,N,N,N,N,,,,,-1.6,,0.9,70,47,,2000
220101224512321,자동차/철도차량,,,,,,,,,,0,0,0,462,2022,겨울,1,20220101,211500,01,01,21,15,토요일,노원소방서,상계119안전센터,,000257,000000,서울특별시,노원구,상계동,도시,동,205415.207500,205415.207500,127.061367000,37.654931000,2.50,1.60,0.00,작동기기,전기적 아크(단락),전기적 요인,반단선,합성수지,플라스틱/ PVC/ 비닐/ 장판,차량/ 선박부품,배선,,,자동차/철도차량,자동차,승용자동차,,,N,N,N,N,일반도로,앞좌석,,,-2.4,,2.1,20,49,,2000
220102020453190,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1,5,0,449.970000,135.060000,사용중,0,0,0,268,2022,겨울,1,20220102,011100,01,02,01,11,일요일,강남소방서,영동119안전센터,,000437,000448,서울특별시,강남구,논현동,도시,동,202561.900000,202561.900000,127.028975000,37.507322000,4.10,2.30,0.00,담뱃불/ 라이터불,담뱃불,부주의,담배꽁초,쓰레기류,재활용,,,,,주거,공동주택,다세대주택,,2.000000,N,N,N,N,,,,,-2.9,,2.1,50,57,,2000
220102064420376,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1,4,1,309.380000,98.140000,사용중,0,0,0,1,2022,겨울,1,20220102,060900,01,02,06,09,일요일,성동소방서,행당119안전센터,,000250,000700,서울특별시,성동구,성수동1가,도시,동,204368.020000,204368.020000,127.049449000,37.539027000,3.00,1.20,0.00,작동기기,기기 전도/복사열/기기발열,부주의,음식물 조리중,식품,음식물,,,,,주거,공동주택,다세대주택,,0.000000,N,N,N,N,,,,,-1.9,0.00,2.5,50,66,0.1,647
220102114832627,건축/구조물,양식(옥),철근콘크리트조,시멘트기와,1,1,,120.000000,120.000000,사용중,0,0,0,256,2022,겨울,1,20220102,092700,01,02,09,27,일요일,서대문소방서,홍은119안전센터,,000255,001717,서울특별시,서대문구,홍은동,도시,동,195107.050000,195107.050000,126.944593000,37.600785000,3.20,0.50,0.00,작동기기,전기적 아크(단락),전기적 요인,미확인단락,종이/목재/건초등,목재/ 합판,,,,,주거,단독주택,단독주택,,0.000000,N,N,N,N,,,,,-1.9,0.30,1.4,340,82,0.4,1854
220102103148471,기타(쓰레기 화재등),,,,,,,,,,0,0,0,61,2022,겨울,1,20220102,094400,01,02,09,44,일요일,도봉소방서,도봉119안전센터,,000330,000330,서울특별시,도봉구,도봉동,도시,동,204239.180000,204239.180000,127.048072000,37.675407000,1.80,1.50,0.00,담뱃불/ 라이터불,라이터불/ 성냥불,부주의,쓰레기 소각,쓰레기류,재활용,,,,,기타,야외,쓰레기,,,N,N,N,N,,,,,-1.9,0.30,1.4,340,82,0.4,1854
220102114539654,건축/구조물,양식(옥),벽돌조,슬라브가,1,2,1,240.230000,85.200000,사용중,0,0,0,14,2022,겨울,1,20220102,100200,01,02,10,02,일요일,동작소방서,백운119안전센터,,000308,000000,서울특별시,동작구,사당동,도시,동,196853.980000,196853.980000,126.964436000,37.489697000,6.50,0.70,0.00,작동기기,불꽃/ 스파크/ 정전기,부주의,음식물 조리중,식품,음식물,,,,,주거,단독주택,다가구주택,,0.000000,N,N,N,N,,,,,-0.8,,0.7,250,81,0.3,1924
220102131142508,건축/구조물,양식(옥),철근콘크리트조,슬라브가,,17,5,16858.000000,885.000000,사용중,0,0,0,74,2022,겨울,1,20220102,110600,01,02,11,06,일요일,송파소방서,방이119안전센터,,000500,000500,서울특별시,송파구,방이동,도시,동,209829.947200,209829.947200,127.111152000,37.515713000,3.80,1.80,0.00,작동기기,불꽃/ 스파크/ 정전기,부주의,가연물 근접방치,종이/목재/건초등,기타(종이/목재/건초등),,,,,주거,공동주택,다세대주택,,1.000000,N,N,N,N,,,,,0.0,,3.3,320,80,0.2,930
220102181731838,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1,15,1,8742.720000,568.680000,사용중,0,0,0,1909,2022,겨울,1,20220102,154900,01,02,15,49,일요일,동작소방서,노량진119안전센터,,000513,002500,서울특별시,동작구,흑석동,도시,동,197046.946000,197046.946000,126.966945000,37.507870000,7.70,3.00,0.00,미상,미상,미상,미상,미상,미상,,,,,주거,공동주택,아파트,,30.000000,N,N,N,N,,,,,2.5,,3.3,270,46,,2000
220102211149276,건축/구조물,양식(옥),철골조,슬라브가,1,3,0,241.560000,84.920000,사용중,0,0,0,973,2022,겨울,1,20220102,195900,01,02,19,59,일요일,중부소방서,을지로119안전센터,,000241,002019,서울특별시,중구,을지로6가,도시,동,200585.330000,200585.330000,127.006622000,37.566708000,1.00,0.60,0.00,불꽃/ 불티,굴뚝(연통) 아궁이,부주의,불씨/불꽃/화원방치,식품,기타(식품),,,,,생활서비스,음식점,한식,,0.000000,N,N,N,N,,,,,-1.6,,2.0,270,41,,2000
220102212809315,기타(쓰레기 화재등),,,,,,,,,,0,0,0,106,2022,겨울,1,20220102,203700,01,02,20,37,일요일,서초소방서,반포119안전센터,,000308,000300,서울특별시,서초구,반포동,도시,동,199839.447000,199839.447000,126.998184000,37.495807000,2.30,2.30,0.00,담뱃불/ 라이터불,담뱃불,부주의,담배꽁초,합성수지,플라스틱/ PVC/ 비닐/ 장판,,,,,기타,야외,쓰레기,,,N,N,N,N,,,,,-2.6,,1.6,290,46,,2000
220102225455685,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1,12,5,29989.660000,2097.630000,사용중,0,0,0,49,2022,겨울,1,20220102,220600,01,02,22,06,일요일,중부소방서,을지로119안전센터,,000240,000000,서울특별시,중구,을지로7가,도시,동,200737.131600,200737.131600,127.008343000,37.565233000,0.70,0.50,0.00,작동기기,기기 전도/복사열/기기발열,전기적 요인,절연열화에 의한 단락,전기/전자,전기/ 전자기기 기판,계절용 기기,전기히터/스토브,,,판매/업무시설,판매시설,쇼핑센터,,0.000000,N,N,N,N,,,,,-3.8,,2.1,250,49,,2000
220102235249127,건축/구조물,양식(옥),철근콘크리트조,슬라브가,7,15,1,15337.800000,15337.800000,사용중,0,0,0,11,2022,겨울,1,20220102,225200,01,02,22,52,일요일,성동소방서,금호119안전센터,,000335,001819,서울특별시,성동구,옥수동,도시,동,201120.804800,201120.804800,127.012682000,37.543322000,4.30,2.00,0.00,마찰/ 전도/ 복사,화염 전도/복사열,부주의,음식물 조리중,식품,음식물,,,,,주거,공동주택,아파트,,0.000000,N,N,N,N,,,,,-3.8,,2.1,250,49,,2000
220103044904366,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1,1,0,33.600000,33.600000,사용중,0,0,0,41,2022,겨울,1,20220103,032200,01,03,03,22,월요일,영등포소방서,당산119안전센터,,000238,001029,서울특별시,영등포구,당산동6가,도시,동,191484.310000,191484.310000,126.903638000,37.534945000,2.80,0.60,0.00,작동기기,기기 전도/복사열/기기발열,부주의,음식물 조리중,식품,음식물,,,,,생활서비스,음식점,한식,,0.000000,N,N,N,N,,,,,-7.0,,1.6,270,59,,2000
220103082020874,건축/구조물,양식(옥),벽돌조,슬라브가,,2,1,309.960000,207.670000,사용중,0,0,0,50,2022,겨울,1,20220103,073700,01,03,07,37,월요일,은평소방서,진관119안전센터,,000500,000100,서울특별시,은평구,불광동,도시,동,193672.772300,193672.772300,126.928329000,37.621316000,2.00,2.00,0.00,작동기기,전기적 아크(단락),전기적 요인,트래킹에 의한 단락,합성수지,기타(합성수지),,,,,판매/업무시설,판매시설,상가빌딩,,0.000000,N,N,N,N,,,,,-7.7,,2.0,20,54,,2000
220103153417825,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1,15,1,10712.020000,812.580000,사용중,0,0,0,211,2022,겨울,1,20220103,084200,01,03,08,42,월요일,도봉소방서,쌍문119안전센터,,000312,002018,서울특별시,도봉구,쌍문동,도시,동,202790.754400,202790.754400,127.031627000,37.659022000,1.50,1.60,0.00,담뱃불/ 라이터불,촛불,부주의,불씨/불꽃/화원방치,침구/직물류,기타(침구/직물류),,,,,주거,공동주택,아파트,,3.000000,N,Y,N,N,,,,,-7.6,,1.6,270,55,,2000
220103131902179,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1,1,1,191.080000,33.000000,사용중,0,0,0,494,2022,겨울,1,20220103,101900,01,03,10,19,월요일,광진소방서,중곡119안전센터,,000322,003600,서울특별시,광진구,중곡동,도시,동,207177.670000,207177.670000,127.081242000,37.564750000,3.00,1.00,0.00,작동기기,전기적 아크(단락),전기적 요인,절연열화에 의한 단락,전기/전자,작동장치(모터/ 히터/ 램프 등),,,,,판매/업무시설,판매시설,상점가,,5.000000,N,N,N,N,,,,,-4.0,,1.2,160,55,,2000
220103134954873,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1,10,2,3457.140000,25.000000,사용중,0,0,0,468,2022,겨울,1,20220103,121500,01,03,12,15,월요일,송파소방서,방이119안전센터,,000440,000700,서울특별시,송파구,방이동,도시,동,210041.720000,210041.720000,127.113584000,37.515287000,3.80,3.40,0.00,작동기기,기기 전도/복사열/기기발열,부주의,가연물 근접방치,종이/목재/건초등,종이,,,,,판매/업무시설,일반업무,오피스텔,,1.000000,N,Y,N,N,,,,,0.9,,2.1,180,36,,2000
220103164901798,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1,4,1,607.840000,142.130000,철거중,0,1,1,0,2022,겨울,1,20220103,140600,01,03,14,06,월요일,은평소방서,녹번119안전센터,,000400,001500,서울특별시,은평구,응암동,도시,동,192620.860000,192620.860000,126.916449000,37.589781000,5.40,2.50,0.00,작동기기,전기적 아크(단락),부주의,기기(전기/ 기계 등) 사용.설치부주의,전기/전자,전선피복,,,,,생활서비스,음식점,호프집,지상층,0.000000,N,N,N,N,,,,,2.0,,2.4,270,43,,2000
220103172148125,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1,4,1,586.020000,119.520000,사용중,0,0,0,101,2022,겨울,1,20220103,160300,01,03,16,03,월요일,관악소방서,관악119안전센터,,000459,000134,서울특별시,관악구,봉천동,도시,동,197329.560000,197329.560000,126.969812000,37.468977000,3.30,3.30,0.00,작동기기,기기 전도/복사열/기기발열,부주의,음식물 조리중,식품,음식물,주방기기,전기레인지,,,주거,공동주택,연립주택,,0.000000,N,N,N,N,,,,,2.3,,2.4,230,49,,2000
220103224302459,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1,6,0,543.220000,150.790000,사용중,0,1,1,1494,2022,겨울,1,20220103,175200,01,03,17,52,월요일,관악소방서,난곡119안전센터,,000457,000030,서울특별시,관악구,신림동,도시,동,192838.720000,192838.720000,126.919039000,37.475964000,5.50,1.00,0.00,작동기기,기기 전도/복사열/기기발열,부주의,음식물 조리중,식품,튀김유,,,,,주거,공동주택,다세대주택,지상층,9.000000,N,Y,N,N,,,,,1.6,,3.0,200,56,,2000
220103195943297,건축/구조물,양식(옥),벽돌조,슬라브가,1,2,1,149.180000,0.000000,사용중,0,0,0,52,2022,겨울,1,20220103,182200,01,03,18,22,월요일,종로소방서,세종로119안전센터,,000708,000016,서울특별시,종로구,신문로2가,도시,동,197207.980000,197207.980000,126.968394000,37.573153000,2.50,2.50,0.00,미상,미상,미상,미상,미상,미상,,,,,주거,단독주택,다가구주택,,1.000000,N,N,N,N,,,,,1.3,,1.9,200,58,,2000
220103205835147,자동차/철도차량,,,,,,,,,,0,0,0,2013,2022,겨울,1,20220103,184400,01,03,18,44,월요일,중랑소방서,망우119안전센터,,000452,001340,서울특별시,중랑구,망우동,도시,동,210113.233900,210113.233900,127.114524000,37.601140000,3.20,1.70,0.00,미상,미상,방화의심,방화의심,미상,미상,,,,,자동차/철도차량,자동차,승용자동차,,,N,N,N,N,기타 도로,앞좌석,,,1.3,,1.9,200,58,,2000
220103231615491,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1,4,0,312.000000,96.000000,사용중,0,0,0,182050,2022,겨울,1,20220103,200200,01,03,20,02,월요일,송파소방서,마천119안전센터,,000420,002925,서울특별시,송파구,오금동,도시,동,211863.580000,211863.580000,127.134173000,37.504761000,2.50,2.50,0.00,작동기기,불꽃/ 스파크/ 정전기,가스누출(폭발),가스누출(폭발),가연성가스,천연가스,상업장비,가스온수기,가연성가스,천연가스,주거,단독주택,상가주택(주택부분에서 화재가 발생한 경우에만 해당),,10.000000,N,N,N,N,,,,,1.2,,1.8,270,68,,2000
220104000858377,건축/구조물,양식(옥),벽돌조,슬라브가,1,3,1,243.530000,72.810000,사용중,0,1,1,3359,2022,겨울,1,20220103,212900,01,03,21,29,월요일,동대문소방서,장안119안전센터,,000406,001116,서울특별시,동대문구,답십리동,도시,동,205161.210000,205161.210000,127.058421000,37.568540000,3.00,3.00,0.00,미상,미상,미상,미상,기타,기타,,,,,주거,단독주택,다가구주택,지상층,4.000000,N,N,N,N,,,,,1.1,0.00,2.8,200,74,,2000
220103233540427,자동차/철도차량,,,,,,,,,,0,0,0,3415,2022,겨울,1,20220103,215700,01,03,21,57,월요일,마포소방서,염리119안전센터,,000330,000700,서울특별시,마포구,염리동,도시,동,195288.110900,195288.110900,126.946677000,37.550802000,1.70,1.90,0.00,미상,미상,미상,미상,미상,미상,,,,,자동차/철도차량,자동차,승용자동차,,,N,N,N,N,일반도로,앞좌석,,,1.1,0.00,2.8,200,74,,2000
220104023802630,자동차/철도차량,,,,,,,,,,0,0,0,3245,2022,겨울,1,20220104,003700,01,04,00,37,화요일,은평소방서,역촌119안전센터,,000335,003555,서울특별시,은평구,역촌동,도시,동,192623.270000,192623.270000,126.916465000,37.600249000,4.70,1.50,0.00,작동기기,전기적 아크(단락),전기적 요인,트래킹에 의한 단락,자동차/철도차량/선박/항공기,부품,차량/ 선박부품,엔진본체,,,자동차/철도차량,자동차,소형 승합차,,,N,N,N,N,주차장,엔진룸,,,0.7,0.00,1.6,290,81,,2000
220104064836980,자동차/철도차량,,,,,,,,,,0,0,0,3168,2022,겨울,1,20220104,014300,01,04,01,43,화요일,관악소방서,봉천119안전센터,,000250,001600,서울특별시,관악구,봉천동,도시,동,195242.460000,195242.460000,126.959238000,37.480485000,3.50,1.50,0.00,미상,미상,미상,미상,미상,미상,차량/ 선박부품,배선,,,자동차/철도차량,건설기계,덤프트럭,,,N,N,N,N,공지,엔진룸,,,0.7,,1.3,290,81,,2000
220104111550400,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1,5,1,634.650000,106.580000,사용중,0,0,0,2934,2022,겨울,1,20220104,083200,01,04,08,32,화요일,서초소방서,서초119안전센터,,000435,013855,서울특별시,서초구,서초동,도시,동,201000.060000,201000.060000,127.011306000,37.481808000,3.50,1.80,0.00,작동기기,전기적 아크(단락),전기적 요인,누전/지락,전기/전자,전선피복,,,,,판매/업무시설,일반업무,일반빌딩,,50.000000,N,N,N,N,,,,,-4.6,,1.9,270,75,,1901
220104101444603,건축/구조물,양식(옥),벽돌조,슬라브가,1,2,1,185.040000,59.880000,사용중,0,0,0,400,2022,겨울,1,20220104,090600,01,04,09,06,화요일,강북소방서,번동119안전센터,,000338,001100,서울특별시,강북구,수유동,도시,동,202134.300000,202134.300000,127.024197000,37.642897000,1.80,1.80,0.00,담뱃불/ 라이터불,담뱃불,부주의,담배꽁초,쓰레기류,쓰레기,,,,,주거,단독주택,다가구주택,,10.000000,N,N,N,N,,,,,-4.3,,3.8,290,73,,1914
220104122149498,건축/구조물,양식(옥),철근콘크리트조,기타 즙,1,3,0,94.920000,31.640000,사용중,0,0,0,310,2022,겨울,1,20220104,104100,01,04,10,41,화요일,서대문소방서,홍은119안전센터,,000440,000622,서울특별시,서대문구,홍제동,도시,동,195068.129500,195068.129500,126.944159000,37.588511000,2.70,1.50,0.00,작동기기,기기 전도/복사열/기기발열,기타,기타,식품,튀김유,,,,,생활서비스,음식점,기타휴게음식점,,0.000000,N,N,N,N,,,,,-3.5,,2.8,290,66,,1995
